Gall_sp,Status,Parasitoid,Total_number,Per_country
Andricus alniensis,bisexual,Synergus facialis,,FR
Andricus alniensis,bisexual,Synergus thaumacerus,,FR
Andricus alniensis,bisexual,Ormyrus pomaceus,,FR
Andricus alniensis,bisexual,Mesopolobus tibialis,,FR
Andricus amblycerus,asexual,Ceroptres clavicornis,7,"AT 2,HU 5,PL"
Andricus amblycerus,asexual,Synergus apicalis,,"AT,HU"
Andricus amblycerus,asexual,Synergus facialis,1,HU 1
Andricus amblycerus,asexual,Synergus pallipes,1,"AT,HU 1"
Andricus amblycerus,asexual,Synergus umbraculus,,"AT,PL"
Andricus amblycerus,asexual,Eurytoma setigera,1,AT 1
Andricus amblycerus,asexual,Sycophila biguttata,4,HU 4
Andricus amblycerus,asexual,Sycophila flavicollis,1,HU 1
Andricus amblycerus,asexual,Sycophila variegata,1,HU 1
Andricus amblycerus,asexual,Ormyrus nitidulus,,"RO,AT 6,HU 25"
Andricus amblycerus,asexual,Caenacis lauta,1,HU 1
Andricus amblycerus,asexual,Eupelmus urozonus,4,HU 4
Andricus amenti,bisexual,Mesopolobus amaenus,,AT
Andricus amenti,bisexual,Mesopolobus tibialis,,AT
Andricus amenti,bisexual,Mesopolobus xanthocerus,12,"AT,FR 12"
Andricus amenti,bisexual,Eupelmus urozonus,,AT
Andricus amenti,bisexual,Aulogymnus gallarum,5,"AT,FR 5"
Andricus amenti,bisexual,Aprostocetus aethiops,3,FR 3
Andricus amenti,bisexual,Aprostocetus sp.,1,FR 1
Andricus amenti,bisexual,Andricus amenti,,NA
Andricus amenti,bisexual,Synergus pallipes,,DE
Andricus amenti,bisexual,Eurytoma brunniventris,1,HU 1
Andricus amenti,bisexual,Mesopolobus fasciiventris,2,HU 2
Andricus amenti,bisexual,Eupelmus urozonus,2,HU 2
Andricus aries,asexual,Ceroptres clavicornis,6,"GB 2,HU 4"
Andricus aries,asexual,Synergus facialis,16,GB 16
Andricus aries,asexual,Synergus hayneanus,4,HU 4
Andricus aries,asexual,Synergus pallipes,1,GB 1
Andricus aries,asexual,Synergus reinhardi,15,GB 15
Andricus aries,asexual,Synergus tibialis,2,GB 2
Andricus aries,asexual,Synergus umbraculus,16,HU 16
Andricus aries,asexual,Eurytoma adleriae,2,HU 2
Andricus aries,asexual,Eurytoma brunniventris,5,"AT,GB 4,HU 1"
Andricus aries,asexual,Sycophila biguttata,6,"GB 5,HU 1"
Andricus aries,asexual,Sycophila flavicollis,3,GB 3
Andricus aries,asexual,Megastigmus dorsalis,6,GB 6
Andricus aries,asexual,Megastigmus ?stigmatizans,1,GB 1
Andricus aries,asexual,Ormyrus nitidulus,6,AT 6
Andricus aries,asexual,Ormyrus pomaceus,16,"AT 10,HU 2,UA 4"
Andricus aries,asexual,Caenacis lauta,,AT
Andricus aries,asexual,Eupelmus spongipartus,,AT
Andricus aries,asexual,Eupelmus urozonus,,AT
Andricus askewi,asexual,Synergus sp.,4,TR 4
Andricus askewi,asexual,Eurytoma brunniventris,3,TR 3
Andricus askewi,asexual,Sycophila biguttata,8,TR 8
Andricus askewi,asexual,Megastigmus dorsalis,1,TR 1
Andricus askewi,asexual,Ormyrus nitidulus,4,TR 4
Andricus askewi,asexual,Cecidostiba fungosa,2,TR 2
Andricus askewi,asexual,(Ichneumonidae sp.),1,TR 1
Andricus burgundus,bisexual [see also Synophrus politus],Ceroptres cerri,41,"AT 8,HU 33"
Andricus burgundus,bisexual [see also Synophrus politus],Synophrus politus,,ES
Andricus burgundus,bisexual [see also Synophrus politus],Eurytoma brunniventris,1,"HU 1,ES 1,HU 2"
Andricus burgundus,bisexual [see also Synophrus politus],Sycophila variegata,1,ES 1
Andricus burgundus,bisexual [see also Synophrus politus],Megastigmus dorsalis,1,HU 1
