Country,Country2,ID,Gall_sp,Status,Parasitoid,Number,Tree_host
FR, France,1,Andricus alniensis,bisexual,Synergus facialis,,Q. pubescens 
FR, France,2,Andricus alniensis,bisexual,Synergus thaumacerus,,Q. pubescens 
FR, France,3,Andricus alniensis,bisexual,Ormyrus pomaceus,,Q. pubescens 
FR, France,4,Andricus alniensis,bisexual,Mesopolobus tibialis,,Q. pubescens 
AT, Austria,5,Andricus amblycerus,asexual,Ceroptres clavicornis,2,
HU, Hungary,5,Andricus amblycerus,asexual,Ceroptres clavicornis,5,Q. petraea Q.pubescens 
PL, Poland,5,Andricus amblycerus,asexual,Ceroptres clavicornis,,
AT, Austria,6,Andricus amblycerus,asexual,Synergus apicalis,,
HU, Hungary,6,Andricus amblycerus,asexual,Synergus apicalis,,
HU, Hungary,7,Andricus amblycerus,asexual,Synergus facialis,1,Q. pubescens
AT, Austria,8,Andricus amblycerus,asexual,Synergus pallipes,,
HU, Hungary,8,Andricus amblycerus,asexual,Synergus pallipes,1,Q.pubescens
AT, Austria,9,Andricus amblycerus,asexual,Synergus umbraculus,,
PL, Poland,9,Andricus amblycerus,asexual,Synergus umbraculus,,
AT, Austria,10,Andricus amblycerus,asexual,Eurytoma setigera,1,
HU, Hungary,11,Andricus amblycerus,asexual,Sycophila biguttata,4,Q. pubescens
HU, Hungary,12,Andricus amblycerus,asexual,Sycophila flavicollis,1,Q. pubescens
HU, Hungary,13,Andricus amblycerus,asexual,Sycophila variegata,1,Q. petraea
RO, Romania,14,Andricus amblycerus,asexual,Ormyrus nitidulus,,
AT, Austria,15,Andricus amblycerus,asexual,Ormyrus pomaceus,6,
HU, Hungary,15,Andricus amblycerus,asexual,Ormyrus pomaceus,25,Q. pubescens
HU, Hungary,16,Andricus amblycerus,asexual,Caenacis lauta,1,Q. pubescens
HU, Hungary,17,Andricus amblycerus,asexual,Eupelmus urozonus,4,Q. pubescens
AT, Austria,18,Andricus amenti,bisexual,Mesopolobus amaenus,,
AT, Austria,19,Andricus amenti,bisexual,Mesopolobus tibialis,,
AT, Austria,20,Andricus amenti,bisexual,Mesopolobus xanthocerus,,
FR, France,20,Andricus amenti,bisexual,Mesopolobus xanthocerus,12,
AT, Austria,21,Andricus amenti,bisexual,Eupelmus urozonus,,
AT, Austria,22,Andricus amenti,bisexual,Aulogymnus gallarum,,
FR, France,22,Andricus amenti,bisexual,Aulogymnus gallarum,5,
FR, France,23,Andricus amenti,bisexual,Aprostocetus aethiops,3,
FR, France,24,Andricus amenti,bisexual,Aprostocetus sp.,1,
DE, Germany,25,Andricus amenti,asexual,Synergus pallipes,,
HU, Hungary,26,Andricus amenti,asexual,Eurytoma brunniventris,1,Q. robur
HU, Hungary,27,Andricus amenti,asexual,Mesopolobus fasciiventris,2,Q. robur
HU, Hungary,28,Andricus amenti,asexual,Eupelmus urozonus,2,Q. robur
GB, United Kingdom,29,Andricus aries,asexual,Ceroptres clavicornis,2,Q. robur 
HU, Hungary,29,Andricus aries,asexual,Ceroptres clavicornis,4,
GB, United Kingdom,30,Andricus aries,asexual,Synergus facialis,16,
HU, Hungary,31,Andricus aries,asexual,Synergus hayneanus,4,Q. robur
