Species_name_Stace4,Family
Diphasiastrum alpinum,Lycopodiaceae
Diphasiastrum complanatum,Lycopodiaceae
Huperzia selago,Lycopodiaceae
Lycopodiella inundata,Lycopodiaceae
Lycopodium annotinum,Lycopodiaceae
Lycopodium clavatum,Lycopodiaceae
Lycopodium lagopus,Lycopodiaceae
Selaginella selaginoides,Selaginellaceae
Isoetes echinospora,Isoetaceae
Isoetes histrix,Isoetaceae
Isoetes lacustris,Isoetaceae
Botrychium lunaria,Ophioglossaceae
Ophioglossum azoricum,Ophioglossaceae
Ophioglossum lusitanicum,Ophioglossaceae
Ophioglossum vulgatum,Ophioglossaceae
Equisetum arvense,Equisetaceae
Equisetum fluviatile,Equisetaceae
Equisetum hyemale,Equisetaceae
Equisetum palustre,Equisetaceae
Equisetum pratense,Equisetaceae
Equisetum ramosissimum,Equisetaceae
Equisetum sylvaticum,Equisetaceae
Equisetum telmateia,Equisetaceae
Equisetum variegatum,Equisetaceae
Osmunda regalis,Osmundaceae
Hymenophyllum tunbrigense,Hymenophyllaceae
Hymenophyllum wilsonii,Hymenophyllaceae
Trichomanes speciosum,Hymenophyllaceae
Pilularia globulifera,Marsileaceae
Azolla filiculoides,Salviniaceae
Pteridium aquilinum,Dennstaedtiaceae
Adiantum capillus-veneris,Pteridaceae
Anogramma leptophylla,Pteridaceae
Cryptogramma crispa,Pteridaceae
Cystopteris alpina,Cystopteridaceae
Cystopteris diaphana,Cystopteridaceae
Cystopteris dickieana,Cystopteridaceae
Cystopteris fragilis,Cystopteridaceae
Cystopteris montana,Cystopteridaceae
Gymnocarpium dryopteris,Cystopteridaceae
Gymnocarpium robertianum,Cystopteridaceae
Asplenium adiantum-nigrum,Aspleniaceae
Asplenium ceterach,Aspleniaceae
Asplenium fontanum,Aspleniaceae
Asplenium marinum,Aspleniaceae
Asplenium obovatum,Aspleniaceae
Asplenium ruta-muraria,Aspleniaceae
Asplenium scolopendrium,Aspleniaceae
Asplenium septentrionale,Aspleniaceae
Asplenium trichomanes,Aspleniaceae
Asplenium viride,Aspleniaceae
Oreopteris limbosperma,Thelypteridaceae
Phegopteris connectilis,Thelypteridaceae
Thelypteris palustris,Thelypteridaceae
Athyrium distentifolium,Woodsiaceae
Athyrium filix-femina,Woodsiaceae
Woodsia alpina,Woodsiaceae
Woodsia ilvensis,Woodsiaceae
Blechnum spicant,Blechnaceae
Dryopteris aemula,Dryopteridaceae
Dryopteris affinis,Dryopteridaceae
Dryopteris carthusiana,Dryopteridaceae
Dryopteris cristata,Dryopteridaceae
Dryopteris dilatata,Dryopteridaceae
Dryopteris expansa,Dryopteridaceae
Dryopteris filix-mas,Dryopteridaceae
Dryopteris oreades,Dryopteridaceae
Dryopteris remota,Dryopteridaceae
Dryopteris submontana,Dryopteridaceae
Polystichum aculeatum,Dryopteridaceae
Polystichum lonchitis,Dryopteridaceae
Polystichum setiferum,Dryopteridaceae
Polypodium cambricum,Polypodiaceae
Polypodium interjectum,Polypodiaceae
Polypodium vulgare,Polypodiaceae
Pinus sylvestris,Pinaceae
Pseudotsuga menziesii,Pinaceae
Juniperus communis,Cupressaceae
Taxus baccata,Taxaceae
Cabomba caroliniana,Cabombaceae
Nuphar lutea,Nymphaeaceae
Nuphar pumila,Nymphaeaceae
Nymphaea alba,Nymphaeaceae
Ceratophyllum demersum,Ceratophyllaceae
Ceratophyllum submersum,Ceratophyllaceae
Ceratocapnos claviculata,Papaveraceae
Chelidonium majus,Papaveraceae
Fumaria bastardii,Papaveraceae
Fumaria capreolata,Papaveraceae
Fumaria densiflora,Papaveraceae
Fumaria muralis,Papaveraceae
Fumaria occidentalis,Papaveraceae
Fumaria officinalis,Papaveraceae
Fumaria parviflora,Papaveraceae
Fumaria purpurea,Papaveraceae
Fumaria reuteri,Papaveraceae
Fumaria vaillantii,Papaveraceae
Glaucium flavum,Papaveraceae
Papaver cambricum,Papaveraceae
Papaver dubium,Papaveraceae
Papaver lecoqii,Papaveraceae
Papaver rhoeas,Papaveraceae
Papaver somniferum,Papaveraceae
Roemeria argemone,Papaveraceae
Roemeria hispida,Papaveraceae
Roemeria hybrida,Papaveraceae
Berberis vulgaris,Berberidaceae
Mahonia aquifolium,Berberidaceae
Actaea spicata,Ranunculaceae
Adonis annua,Ranunculaceae
Anemone nemorosa,Ranunculaceae
Aquilegia vulgaris,Ranunculaceae
Caltha palustris,Ranunculaceae
Clematis vitalba,Ranunculaceae
Ficaria verna,Ranunculaceae
Helleborus foetidus,Ranunculaceae
Helleborus viridis,Ranunculaceae
Myosurus minimus,Ranunculaceae
Pulsatilla vulgaris,Ranunculaceae
Ranunculus acris,Ranunculaceae
Ranunculus aquatilis,Ranunculaceae
Ranunculus arvensis,Ranunculaceae
Ranunculus auricomus,Ranunculaceae
Ranunculus baudotii,Ranunculaceae
