Taxon,Genus,Hybrid.marker,Species,Abbrev,Infraspecific.rank,Infraspecific,Authority,ID,Plant.Name.Index,TPL.version,Taxonomic.status,Family,New.Genus,New.Hybrid.marker,New.Species,New.Infraspecific.rank,New.Infraspecific,New.Authority,New.ID,New.Taxonomic.status,Typo,WFormat,Higher.level,Date,Tax_res
"","","",,,,"","","",FALSE,1.1,"","",,"",,,"","","","",TRUE,FALSE,FALSE,2020-10-09,
Abelmoschus esculentus,Abelmoschus,"",esculentus,,,"","",kew-2609574,TRUE,1.1,Accepted,Malvaceae,Abelmoschus,"",esculentus,"","",(L.) Moench,kew-2609574,Accepted,FALSE,FALSE,FALSE,2020-10-09,Species
Abelmoschus manihot Medic.,Abelmoschus,"",manihot,,,"",Medic.,kew-2609589,TRUE,1.1,Accepted,Malvaceae,Abelmoschus,"",manihot,"","",(L.) Medik.,kew-2609589,Accepted,FALSE,FALSE,FALSE,2020-10-09,Species
Abies alba,Abies,"",alba,,,"","",kew-2609691,TRUE,1.1,Accepted,Pinaceae,Abies,"",alba,"","",Mill.,kew-2609691,Accepted,FALSE,FALSE,FALSE,2020-10-09,Species
Abies amabilis Dougl. ex J.Forbes,Abies,"",amabilis,,,"",Dougl. ex J.Forbes,kew-2609703,TRUE,1.1,Accepted,Pinaceae,Abies,"",amabilis,"","",(Douglas ex Loudon) J.Forbes,kew-2609703,Accepted,FALSE,FALSE,FALSE,2020-10-09,Species
Abies balsamea,Abies,"",balsamea,,,"","",kew-2609719,TRUE,1.1,Accepted,Pinaceae,Abies,"",balsamea,"","",(L.) Mill.,kew-2609719,Accepted,FALSE,FALSE,FALSE,2020-10-09,Species
Abies borisii-regis,Abies,"",borisii-regis,,,"","",kew-2609736,TRUE,1.1,Accepted,Pinaceae,Abies,×,borisii-regis,"","",Mattf.,kew-2609736,Accepted,FALSE,FALSE,FALSE,2020-10-09,Species
Abies bornmuelleriana Mattf.,Abies,"",bornmuelleriana,,,"",Mattf.,kew-2609737,TRUE,1.1,Synonym,Pinaceae,Abies,"",nordmanniana,subsp.,equi-trojani,(Asch. & Sint. ex Boiss.) Coode & Cullen,kew-2609998,Accepted,FALSE,FALSE,FALSE,2020-10-09,Species
Abies cephalonica,Abies,"",cephalonica,,,"","",kew-2609753,TRUE,1.1,Accepted,Pinaceae,Abies,"",cephalonica,"","",Loudon,kew-2609753,Accepted,FALSE,FALSE,FALSE,2020-10-09,Species
Abies cilicica Carriere,Abies,"",cilicica,,,"",Carriere,kew-2609771,TRUE,1.1,Accepted,Pinaceae,Abies,"",cilicica,"","",(Antoine & Kotschy) Carrière,kew-2609771,Accepted,FALSE,FALSE,FALSE,2020-10-09,Species
