Taxon,Genus,Hybrid.marker,Species,Abbrev,Infraspecific.rank,Infraspecific,Authority,ID,Plant.Name.Index,TPL.version,Taxonomic.status,Family,New.Genus,New.Hybrid.marker,New.Species,New.Infraspecific.rank,New.Infraspecific,New.Authority,New.ID,New.Taxonomic.status,Typo,WFormat,Higher.level,Date,Tax_res
Diphasiastrum alpinum,Diphasiastrum,"",alpinum,,,"","",tro-26604913,TRUE,1.1,Accepted,Lycopodiaceae,Diphasiastrum,"",alpinum,"","",(L.) Holub,tro-26604913,Accepted,FALSE,FALSE,FALSE,2020-10-10,Species
Diphasiastrum complanatum,Diphasiastrum,"",complanatum,,,"","",tro-26604914,TRUE,1.1,Accepted,Lycopodiaceae,Diphasiastrum,"",complanatum,"","",(L.) Holub,tro-26604914,Accepted,FALSE,FALSE,FALSE,2020-10-10,Species
Huperzia selago,Huperzia,"",selago,,,"","",tro-26603630,TRUE,1.1,Accepted,Lycopodiaceae,Huperzia,"",selago,"","",(L.) Bernh. ex Schrank & Mart.,tro-26603630,Accepted,FALSE,FALSE,FALSE,2020-10-10,Species
Lycopodiella inundata,Lycopodiella,"",inundata,,,"","",tro-26604915,TRUE,1.1,Accepted,Lycopodiaceae,Lycopodiella,"",inundata,"","",(L.) Holub,tro-26604915,Accepted,FALSE,FALSE,FALSE,2020-10-10,Species
Lycopodium annotinum,Lycopodium,"",annotinum,,,"","",tro-26600190,TRUE,1.1,Accepted,Lycopodiaceae,Lycopodium,"",annotinum,"","",L.,tro-26600190,Accepted,FALSE,FALSE,FALSE,2020-10-10,Species
Lycopodium clavatum,Lycopodium,"",clavatum,,,"","",tro-26600197,TRUE,1.1,Accepted,Lycopodiaceae,Lycopodium,"",clavatum,"","",L.,tro-26600197,Accepted,FALSE,FALSE,FALSE,2020-10-10,Species
Lycopodium lagopus,Lycopodium,"",lagopus,,,"","",tro-26610806,TRUE,1.1,Accepted,Lycopodiaceae,Lycopodium,"",lagopus,"","",(Laestadius ex C. Hartman) G. Zinserling ex Kuzeneva-Prochorova,tro-26610806,Accepted,FALSE,FALSE,FALSE,2020-10-10,Species
Selaginella selaginoides,Selaginella,"",selaginoides,,,"","",tro-26613766,TRUE,1.1,Accepted,Selaginellaceae,Selaginella,"",selaginoides,"","",(L.) P. Beauv. ex Mart. & Schrank,tro-26613766,Accepted,FALSE,FALSE,FALSE,2020-10-10,Species
Isoetes echinospora,Isoetes,"",echinospora,,,"","",tro-26600171,TRUE,1.1,Accepted,Isoëtaceae,Isoetes,"",echinospora,"","",Durieu,tro-26600171,Accepted,FALSE,FALSE,FALSE,2020-10-10,Species
Isoetes histrix,Isoetes,"",histrix,,,"","",tro-26619670,TRUE,1.1,Synonym,Isoëtaceae,Cephaloceraton,"",histrix,"","",(Bory & Durieu) Gennari,tro-100354148,Accepted,FALSE,FALSE,FALSE,2020-10-10,Species
Isoetes lacustris,Isoetes,"",lacustris,,,"","",tro-26602046,TRUE,1.1,Accepted,Isoëtaceae,Isoetes,"",lacustris,"","",L.,tro-26602046,Accepted,FALSE,FALSE,FALSE,2020-10-10,Species
Botrychium lunaria,Botrychium,"",lunaria,,,"","",tro-26602178,TRUE,1.1,Accepted,Ophioglossaceae,Botrychium,"",lunaria,"","",(L.) Sw.,tro-26602178,Accepted,FALSE,FALSE,FALSE,2020-10-10,Species
Ophioglossum azoricum,Ophioglossum,"",azoricum,,,"","",tro-26610432,TRUE,1.1,Accepted,Ophioglossaceae,Ophioglossum,"",azoricum,"","",C. Presl,tro-26610432,Accepted,FALSE,FALSE,FALSE,2020-10-10,Species
Ophioglossum lusitanicum,Ophioglossum,"",lusitanicum,,,"","",tro-26602159,TRUE,1.1,Accepted,Ophioglossaceae,Ophioglossum,"",lusitanicum,"","",L.,tro-26602159,Accepted,FALSE,FALSE,FALSE,2020-10-10,Species
Ophioglossum vulgatum,Ophioglossum,"",vulgatum,,,"","",tro-26602167,TRUE,1.1,Accepted,Ophioglossaceae,Ophioglossum,"",vulgatum,"","",L.,tro-26602167,Accepted,FALSE,FALSE,FALSE,2020-10-10,Species
Equisetum arvense,Equisetum,"",arvense,,,"","",tro-26602003,TRUE,1.1,Accepted,Equisetaceae,Equisetum,"",arvense,"","",L.,tro-26602003,Accepted,FALSE,FALSE,FALSE,2020-10-10,Species
Equisetum fluviatile,Equisetum,"",fluviatile,,,"","",tro-26602005,TRUE,1.1,Accepted,Equisetaceae,Equisetum,"",fluviatile,"","",L.,tro-26602005,Accepted,FALSE,FALSE,FALSE,2020-10-10,Species
Equisetum hyemale,Equisetum,"",hyemale,,,"","",kew-2902170,TRUE,1.1,Accepted,Equisetaceae,Equisetum,"",hyemale,"","",L.,kew-2902170,Accepted,FALSE,FALSE,FALSE,2020-10-10,Species
Equisetum palustre,Equisetum,"",palustre,,,"","",tro-26602010,TRUE,1.1,Accepted,Equisetaceae,Equisetum,"",palustre,"","",L.,tro-26602010,Accepted,FALSE,FALSE,FALSE,2020-10-10,Species
Equisetum pratense,Equisetum,"",pratense,,,"","",tro-26602011,TRUE,1.1,Accepted,Equisetaceae,Equisetum,"",pratense,"","",Ehrh.,tro-26602011,Accepted,FALSE,FALSE,FALSE,2020-10-10,Species
Equisetum ramosissimum,Equisetum,"",ramosissimum,,,"","",tro-26600163,TRUE,1.1,Accepted,Equisetaceae,Equisetum,"",ramosissimum,"","",Desf.,tro-26600163,Accepted,FALSE,FALSE,FALSE,2020-10-10,Species
Equisetum sylvaticum,Equisetum,"",sylvaticum,,,"","",tro-26602013,TRUE,1.1,Accepted,Equisetaceae,Equisetum,"",sylvaticum,"","",L.,tro-26602013,Accepted,FALSE,FALSE,FALSE,2020-10-10,Species
Equisetum telmateia,Equisetum,"",telmateia,,,"","",tro-26602014,TRUE,1.1,Accepted,Equisetaceae,Equisetum,"",telmateia,"","",Ehrh.,tro-26602014,Accepted,FALSE,FALSE,FALSE,2020-10-10,Species
Equisetum variegatum,Equisetum,"",variegatum,,,"","",tro-26602017,TRUE,1.1,Accepted,Equisetaceae,Equisetum,"",variegatum,"","",Schleich. ex F. Weber & D. Mohr,tro-26602017,Accepted,FALSE,FALSE,FALSE,2020-10-10,Species
Osmunda regalis,Osmunda,"",regalis,,,"","",tro-26602193,TRUE,1.1,Accepted,Osmundaceae,Osmunda,"",regalis,"","",L.,tro-26602193,Accepted,FALSE,FALSE,FALSE,2020-10-10,Species
Hymenophyllum tunbrigense,Hymenophyllum,"",tunbrigense,,,"","",tro-26600467,TRUE,1.1,Accepted,Hymenophyllaceae,Hymenophyllum,"",tunbrigense,"","",(L.) Sm.,tro-26600467,Accepted,FALSE,FALSE,FALSE,2020-10-10,Species
Hymenophyllum wilsonii,Hymenophyllum,"",wilsonii,,,"","",tro-26611003,TRUE,1.1,Synonym,Hymenophyllaceae,Hymenophyllum,"",peltatum,"","",(Poir.) Desv.,tro-26600465,Accepted,FALSE,FALSE,FALSE,2020-10-10,Species
Trichomanes speciosum,Trichomanes,"",speciosum,,,"","",tro-26611009,TRUE,1.1,Unresolved,Hymenophyllaceae,Trichomanes,"",speciosum,"","",Willd.,tro-26611009,Unresolved,FALSE,FALSE,FALSE,2020-10-10,Species
Pilularia globulifera,Pilularia,"",globulifera,,,"","",tro-26613474,TRUE,1.1,Synonym,Marsileaceae,Calamistrum,"",globuliferum,"","",(L.) Kuntze,tro-100355518,Accepted,FALSE,FALSE,FALSE,2020-10-10,Species
Azolla filiculoides,Azolla,"",filiculoides,,,"","",tro-26602847,TRUE,1.1,Accepted,Salviniaceae,Azolla,"",filiculoides,"","",Lam.,tro-26602847,Accepted,FALSE,FALSE,FALSE,2020-10-10,Species
