cultivar,division,perianth,corona,orig_name,date,synonym,awards,seed_parent,pollen_parent,description
Aden,3,W,R,J.L. Richardson,1937-03-30,none,none,"","","Perianth segments broad, milk white; corona small, disc-shaped, intense scarlet"
Adelgar,1,Y,Y,C. Dawson,1920-03-30,none,none,"","","Perianth soft yellow; corona golden yellow, rim frilled"
Addio,3,W,Y,G.L. Wilson,1931-03-30,none,none,"","","Perianth segments pure white, slightly reflexed; corona disc-shaped, soft greenish chrome yellow. Very late"
Adela,2,W,Y,P.D. Williams,1913-03-30,none,AM 1924 ,"","","Perianth segments very broadly ovate, blunt, only slightly mucronate, a little reflexed, deeply overlapping; the inner segments inflexed, more or less twisted; corona cylindrical, smooth, whitish yellow, with mouth ribbed and flared, lightly frilled, rim regularly crenate"
Adelaide,1,W,Y,West & Fell,1935-03-30,none,none,"","","Corona cream, almost white. Mid-season"
Adam,3,Y,R,P.D. Williams,1939-03-30,none,none,"","","Perianth segments bright primrose yellow; corona shallow bowl-shaped, deep red, tinged terracotta"
Adamant,2,Y,YYO,J.C. Williams,1945-03-30,none,*AM(g)  1952 *FCC(g)  1953 ,"","","Fl. 100 mm wide; perianth segments broadly ovate, very slightly mucronate, brilliant greenish yellow 6B, spreading or reflexed, plane to twisted, with margins minutely incurling, overlapping one-third to a half; the inner segments a little inflexed, with margins wavy and sometimes strongly recurved; corona somewhat funnel-shaped, smooth or slightly ribbed, much darker in tone (13A) than the perianth, flushed strong orange 24A towards the mouth, mouth slightly expanded, frilled, with rim notched and crenate"
Adare,3,Y,R,J.L. Richardson,1943-03-30,none,none,‘Seraglio’,‘Varna’,""
Ada,5,W,W,G.H. Engleheart,1902-03-30,none,FCC 1902 ,"","",Fls. usually 2 per stem; perianth segments of waxen texture; corona yellowish white
Ada Brooke,1,W,Y,de Graaff Bros,1896-03-30,none,none,"","",Corona rich orange-yellow. Mid-season
Ada Finch,1,W,W,de Graaff Bros,1927-03-30,none,AM Haarlem  1927 FCC Haarlem  1930 ,"","","Perianth segments narrow, acute, paper white; corona large, opening sulphur yellow, becoming white, mouth heavily frilled. Resembles `King Alfred' in form"
Adagio,1,Y,Y,J. Gerritsen & Son,1941-03-30,none,none,"","",""
Actrice,1,Y,Y,Konynenburg & Mark,1953-03-30,none,none,"","",""
Acushla,1,W,Y,Barr & Sons,1923-03-30,none,none,"","",Corona rich canary yellow
Action,2,W,O,W.O. Backhouse,1962-03-30,none,none,"","",""
Acolyte,2,Y,O,West & Fell,1931-03-30,none,none,"","",Perianth segments yellow; corona reddish orange
Actaea,9,W,YYR,G. Lubbe & Son,1919-03-30,none,*HC(g)  1947 *AM(g)  1950 *FCC(g)  1968 AGM 1993 AM Haarlem  1919 FCC Haarlem  1923 ,"","","Fl. 87 mm wide; perianth segments broadly obovate, blunt or truncate, prominently mucronate, spreading, somewhat concave, glistening, overlapping half; the inner segments narrower, only very slightly mucronate, with margins sometimes reflexed at base and incurling towards apex; corona very shallow, closely ribbed, yellow, with greenish yellow at base and a band of orange-red (33A or B to 42B) at rim, mouth wavy, rim minutely crinkled. Mid-season. Scented. 2n=28"
