Binomial,NCBI taxon id,Order,Family,Data source,Haploid genome size,Repeat %,Heterozygosity %
Abrostola tripartita,938171,Lepidoptera,Noctuidae,pacbio,371685634,15.15,0.95
Abrostola tripartita,938171,Lepidoptera,Noctuidae,pacbio,373000835,19.16,1.04
Adalia bipunctata,7084,"",Coccinellidae,pacbio,466735418,52.27,1.45
Adalia bipunctata,7084,"",Coccinellidae,pacbio,458611346,58.15,1.71
Adalia bipunctata,7084,"",Coccinellidae,hic-arima,810514421,75.09,0.25
Adalia bipunctata,7084,"",Coccinellidae,hic-arima,791440224,81.7,0.32
Aelia acuminata,1511221,Hemiptera,Pentatomidae,10x,1222629253,45.68,2.55
Aelia acuminata,1511221,Hemiptera,Pentatomidae,10x,1237077495,53.43,2.83
Aelia acuminata,1511221,Hemiptera,Pentatomidae,pacbio,1116845426,42.03,2.46
Aelia acuminata,1511221,Hemiptera,Pentatomidae,pacbio,1121471056,50.18,2.72
Aeshna mixta,229377,Odonata,Aeshnidae,10x,1649426726,33.3,0.68
Aeshna mixta,229377,Odonata,Aeshnidae,10x,1693190360,39.74,0.74
Aeshna mixta,229377,Odonata,Aeshnidae,pacbio,1613984500,28.12,0.56
Aeshna mixta,229377,Odonata,Aeshnidae,pacbio,1609494685,33.74,0.58
Aglais io,171585,Lepidoptera,Nymphalidae,10x,439473633,28.91,0.72
Aglais io,171585,Lepidoptera,Nymphalidae,10x,445677226,34.34,0.74
Aglais io,171585,Lepidoptera,Nymphalidae,pacbio,390583782,19.6,0.69
Aglais io,171585,Lepidoptera,Nymphalidae,pacbio,390983839,24.95,0.7
Aglais urticae,111881,Lepidoptera,Nymphalidae,10x,402146596,26.11,2.57
Aglais urticae,111881,Lepidoptera,Nymphalidae,10x,403207856,31.2,2.78
Aglais urticae,111881,Lepidoptera,Nymphalidae,pacbio,374754303,20.3,2.47
Aglais urticae,111881,Lepidoptera,Nymphalidae,pacbio,374992441,25.34,2.66
Agonopterix ocellana,1594225,Lepidoptera,Depressariidae,hic-arima,903719397,59.98,0.58
Agonopterix ocellana,1594225,Lepidoptera,Depressariidae,hic-arima,887405018,69.85,0.75
Amblyteles armatorius,231887,Hymenoptera,Ichneumonidae,10x,243513838,28.03,0.97
Amblyteles armatorius,231887,Hymenoptera,Ichneumonidae,10x,244518823,30.08,1.03
Amblyteles armatorius,231887,Hymenoptera,Ichneumonidae,pacbio,214257394,16.8,1.06
Amblyteles armatorius,231887,Hymenoptera,Ichneumonidae,pacbio,215791507,20.04,1.15
Amphipyra tragopoginis,689058,Lepidoptera,Noctuidae,10x,870198787,42.86,3.27
