"species","family","plant","plantPart","noHosts","hostType","impact"
"Abraxas grossulariata","Geometridae","Hedera helix","-","","-",""
"Abraxas grossulariata","Lepidoptera","Prunus padus","leaves","","-",""
"Abraxas sylvata","Geometridae","Ulmus glabra","leaves","oligophagous","principal","-"
"Abrostola trigemina","Noctuidae","Humulus lupulus","-","oligophagous","subsidiary","-"
"Abrostola triplasia","Noctuidae","Urtica dioica","leaves","monophagous","-","-"
"Acalyptus carpini","Curculionidae","Salix cinerea","leaves","oligophagous","principal","-"
"Acanephodus onopordi","Brentidae","Cirsium eriophorum","roots","","-",""
"Acanthiophilus helianthi","Tephritidae","Cirsium vulgare","flowers","Polyphagous","-",""
"Acanthosoma haemorrhoidale","Acanthosomatidae","Betula pendula","leaves","Polyphagous","-",""
"Acanthosoma haemorrhoidale","Acanthosomatidae","Betula pubescens","leaves","Polyphagous","-",""
"Acasis viretata","Geometridae","Hedera helix","-","","-",""
"Acasis viretata","Geometridae","Ilex aquifolium","flowers,fruits/seeds","polyphagous","principal","-"
"Acasis viretata","Geometridae","Viburnum opulus","","","-",""
"Aceria cornuta","Eriophyidae","Festuca arundinacea","-","","-",""
"Aceria cornuta","Eriophyidae","Avenula pratensis","shoots","","-",""
"Aceria cornuta","Eriophyidae","Festuca elatior","-","","-",""
"Aceria cornuta","Eriophyidae","Avenochloa pratensis","shoots","","-",""
"Aceria cornuta","Eriophyidae","Helictotrichon pratense","shoots","","-",""
"Acherontia atropos","Sphingidae","Cornus suecica","-","","-",""
"Acherontia atropos","Sphingidae","Chamaepericlymenum suecicum","-","","-",""
"Achlya flavicornis","Thyatiridae","Betula pendula","-","monophagous","-","-"
"Achlya flavicornis","Thayatiridae","Betula pubescens","leaves","Monophagous","-",""
"Acleris aspersana","Tortricidae","Helianthemum nummularium","leaves,shoots","polyphagous","-","I"
"Acleris aspersana","Tortricidae","Ulmus glabra","-","-","-","-"
"Acleris aspersana","Tortricidae","Helianthemum canum","leaves,shoots","polyphagous","-","I"
"Acleris aspersana","Tortricidae","Helianthemum chamaecistus","leaves,shoots","polyphagous","-","I"
"Acleris boscana","Tortricidae","Ulmus glabra","leaves","monophagous","-","I"
"Acleris boscana","Tortricidae","Ulmus procera","leaves","monophagous","-","I"
"Acleris boscana","Tortricidae","Ulmus minor","leaves","monophagous","-","I"
"Acleris boscana","Tortricidae","Ulmus minor var. vulgaris","leaves","monophagous","-","I"
"Acleris boscana","Tortricidae","Ulmus angustifolia","leaves","monophagous","-","I"
"Acleris boscana","Tortricidae","Ulmus carpinifolia","leaves","monophagous","-","I"
"Acleris boscana","Tortricidae","Ulmus diversifolia","leaves","monophagous","-","I"
"Acleris boscana","Tortricidae","Ulmus sarniensis","leaves","monophagous","-","I"
"Acleris boscana","Tortricidae","Ulmus stricta","leaves","monophagous","-","I"
"Acleris caledoniana","Tortricidae","Myrica gale","leaves","polyphagous","-","I"
"Acleris caledoniana","Tortricidae","Myrica gale","shoots","polyphagous","-","I"
"Acleris caledoniana","Tortricidae","Vaccinium myrtillus","leaves","polyphagous","-","I"
"Acleris caledoniana","Tortricidae","Vaccinium myrtillus","shoots","polyphagous","-","I"
"Acleris comariana","Tortricidae","Fragaria vesca","leaves","oligophagous","-","-"
"Acleris comariana","Tortricidae","Geum rivale","leaves","oligophagous","-","-"
"Acleris comariana","Tortricidae","Geum rivale","leaves","","-",""
"Acleris comariana","Tortricidae","Comarum palustre","flowers","oligophagous","-","-"
"Acleris comariana","Tortricidae","Potentilla palustris","flowers","oligophagous","-","-"
"Acleris cristana","Tortricidae","Crataegus laevigata","leaves","oligophagous","subsidiary","-"
"Acleris cristana","Tortricidae","Crataegus monogyna","leaves","oligophagous","subsidiary","-"
"Acleris cristana","Tortricidae","Prunus spinosa","buds","oligophagous","principal","-"
"Acleris cristana","Tortricidae","Prunus spinosa","flower buds","oligophagous","principal","-"
"Acleris cristana","Tortricidae","Prunus spinosa","leaves","oligophagous","principal","-"
"Acleris cristana","Tortricidae","Sorbus aria","leaves","oligophagous","subsidiary","-"
"Acleris cristana","Tortricidae","Malus sylvestris","buds","oligophagous","-","-"
