Date,Category,Commendation,Camera,Lens,FocalLength,ShutterSpeed,Aperture,ISO
2020,Animals in their Environment,Adult Grand Title Winner 2020,Nikon Z7,50mm f1.8 lens,50mm,1/200sec,f6.3,ISO250
2020,Animals in their Environment,Highly Commended,Canon EOS 5DS,100mm f2.8 lens,100mm,1/200sec,f25,ISO100
2020,Animals in their Environment,Highly Commended,Nikon D750,300mm f4 lens,300mm,1/320sec,f10,-
2020,Animals in their Environment,Highly Commended,Nikon D7200,18–55mm f3.5–5.6 lens , 25mm,-,f6.7,ISO800
2020,Animals in their Environment,Highly Commended,Canon EOS 5D Mark III,16–36mm f4 lens , 16mm,1/250sec,f16,ISO1600
2020,Animals in their Environment,Highly Commended,Nikon D7100,10–24mm f3.5–4.5 lens , 20mm,1/80sec,f9,ISO1000
2020,Animal Portraits,Winner,Canon EOS-1D X,500mm f4 lens,500mm,1/1000sec,f7.1,ISO1250
2020,Animal Portraits,Highly Commended,Nikon D750,70–200mm f2.8 lens , 175mm,1/1250sec,f2.8,ISO1600
2020,Animal Portraits,Highly Commended,Canon EOS-1D X Mark II,200–400mm f4 lens,400mm,1/160sec,f4,-
2020,Animal Portraits,Highly Commended,Canon EOS-1D X Mark II,200–400mm f4 lens , 300mm,1/1000sec,f11,-
2020,Animal Portraits,Highly Commended,Canon EOS 5D Mark IV,500mm f4 lens,500mm,1/2000sec,f8,ISO1600
2020,Animal Portraits,Highly Commended,Nikon Z7,24–70mm f4.5 lens , 33.5mm,1/60sec,f5.6,ISO320
2020,Animal Portraits,Highly Commended,Canon EOS-1D X Mark II,600mm f4 lens,600mm,1/320sec,f6.3,ISO640
2020,Animal Portraits,Highly Commended,Nikon D500,80–400mm f4.5–5.6 lens , 400mm,1/400sec,f11,ISO800
2020,Behaviour: Amphibians and Reptiles,Winner,Sony ILCE-7M3,90mm f2.8 lens,90mm,1/100sec,f16,ISO320
2020,Behaviour: Amphibians and Reptiles,Highly Commended,Canon EOS 6D,100mm f2.8 lens,100mm,1/100sec,f16,ISO160
2020,Behaviour: Amphibians and Reptiles,Highly Commended,Sony A7III,100mm f2.8 lens,100mm,1/100sec,f16,ISO160
2020,Behaviour: Amphibians and Reptiles,Highly Commended,Nikon D750,70–200mm f2.8 lens , 170mm,1/100sec,f16,-
2020,Behaviour: Birds,Winner,Nikon D4S,600mm f4 lens,600mm,1/800sec,f6.3,ISO500
2020,Behaviour: Birds,Highly Commended,Canon EOS 5D Mark IV,600mm f4 lens,600mm,1/400sec,f6.3,-
2020,Behaviour: Birds,Highly Commended,Canon EOS 7D Mark II,100–400mm f4.5–5.6 lens , 400mm,1/500sec,f5.6,-
2020,Behaviour: Invertebrates,Winner,Canon EOS 5D Mark II,100mm f2.8 lens,100mm,-,f13,ISO160
2020,Behaviour: Invertebrates,Highly Commended,Canon EOS-1D X Mark II,16–35mm f2.8 lens , 24mm,-,f2.8,ISO1000
2020,Behaviour: Invertebrates,Highly Commended,Canon EOS 7D Mark II,100mm f2.8 lens,100mm,1/200sec,f16,ISO400
2020,Behaviour: Invertebrates,Highly Commended,Sony ILCE-7M3,Canon 65mm f2.8 lens,65mm,1/100sec,f16,ISO640
2020,Behaviour: Invertebrates,Highly Commended,Sony ILCE-6500,Laowa 60mm f2.8 lens,60mm,1/125sec,f8,ISO100
2020,Behaviour: Invertebrates,Highly Commended,Canon EOS 5D Mark IV,100mm f2.8 lens,100mm,1/200sec,f14(-1e/v),ISO400
2020,Behaviour: Mammals,Winner,Canon EOS-1D X Mark II,800mm,800mm,1/1250sec,f5.6lens,ISO640
2020,Behaviour: Mammals,Highly Commended,Nikon D500,500mm f4 lens,500mm,1/800sec,f5.6(+0.7e/v),-
2020,Behaviour: Mammals,Highly Commended,Canon EOS-1D X,600mm f4 lens,600mm,1/3200sec,f4,-
2020,Behaviour: Mammals,Highly Commended,Canon EOS 5D Mark IV,70–200mm f2.8 lens , 200mm,1/800sec,f4.5,-
2020,Behaviour: Mammals,Highly Commended,Nikon D850,400mm f2.8 lens,400mm,1/1250,f8,ISO400
2020,Behaviour: Mammals,Highly Commended,Nikon D4S,24–70mm f2.8 lens , 70mm,1/2000sec,f3.5,-
2020,Plants and Fungi,Winner,Nikon D300s,Nikon 10–24mm f3.5 lens , 11mm,-,f22,ISO200
2020,Plants and Fungi,Highly Commended,Canon EOS 5DS,180mm f3.5 lens,180mm,1/400sec,f3.5(-1e/v),ISO800
2020,Plants and Fungi,Highly Commended,Canon 6D,100–400mm f4.5–5.6 lens,400mm,-,f8,ISO640
2020,Plants and Fungi,Highly Commended,Nikon D850,Sigma 150mm f2.8 lens , 150mm,-,f3.5(-2.67e/v),-
2020,Under Water,Winner,Nikon D850,60mm f2.8 lens,60mm,1/200sec,f20,ISO500
2020,Under Water,Highly Commended,Nikon D7200,Tokina 10–17mm,17mm,1/125sec,f3.5–4.5lens,ISO250
2020,Under Water,Highly Commended,Nikon D5,20–35mm f2.8 lens,35mm,1/250sec,f8,ISO800
2020,Under Water,Highly Commended,Nikon D4S,17–35mm f2.8 lens,35mm,1/250sec,f11,ISO800
2020,Under Water,Highly Commended,Nikon D850,60mm f2.8 lens,60mm,1/5sec,f20,ISO400
2020,Under Water,Highly Commended,Nikon D850,60mm f2.8 lens,60mm,1/250sec,f20,ISO500
2020,Urban Wildlife,Winner,Canon EOS 5D Mark IV,17mm f4 lens,17mm,1/40sec,f22,ISO1600
2020,Urban Wildlife,Highly Commended,Nikon D300s,Sigma 150–500mm,500mm,1/100sec,f5–6.3lens,-
2020,Urban Wildlife,Highly Commended,Nikon D850,24–70mm f2.8 lens , 62mm,1/250sec,f16,ISO640
2020,Urban Wildlife,Highly Commended,Canon EOS 5D Mark III,50mm lens,50mm,1/100sec,f8(-2e/v),ISO800
2020,Urban Wildlife,Highly Commended,Nikon D7000,18–105mm f3.5–5.6 lens , 18mm,1/200,f7.1,ISO800
2020,Earth’s Environments,Winner,Canon EOS 5D Mark III,24mm f3.5 lens,24mm,-,f16,ISO320
2020,Earth’s Environments,Highly Commended,Canon EOS 5D Mark III,100–400mm,400mm,1/640sec,f4.5–5.6lens,-
2020,Earth’s Environments,Highly Commended,Canon EOS 5D Mark III,16–35mm f4 lens,35mm,-,f14,ISO100
2020,Earth’s Environments,Highly Commended,Nikon D750,14–24mm f2.8 lens,24mm,1/25sec,f11,-
2020,Wildlife Photojournalism,Winner,Canon EOS 5D Mark IV,70–200mm f2.8 lens,200mm,1/500sec,f4,-
2020,Wildlife Photojournalism,Highly Commended,Canon EOS 5D Mark IV,15mm f2.8 lens,15mm,1/400sec,f5,-
2020,Wildlife Photojournalism,Highly Commended,Nikon D810,80–400mm lens , 400mm,1/1600,f8,ISO400
2020,Wildlife Photojournalism,Highly Commended,Canon EOS 5D Mark IV,24–70mm f2.8 lens , 59mm,1/500sec,f3.5,-
2020,Wildlife Photojournalism,Highly Commended,Nikon D3,24–70mm lens,70mm,1/250sec,f2.8,-
2020,Wildlife Photojournalism,Highly Commended,Canon EOS 5D Mark IV,35mm f1.4 lens,35mm,1/640sec,f6.3,-
2020,Wildlife Photojournalism,Highly Commended,Canon EOS-1D X Mark II,24–105mm f4 lens , 40mm,-,f4,-
2020,Wildlife Photojournalism,Highly Commended,Canon EOS 6D,50mm f1.8 II lens,50mm,1/90sec,f9,-
2020,Wildlife Photojournalism,Highly Commended,Canon EOS-1D Mark IV,70–200mm f2.8 lens , 100mm,1/640sec,f5,-
2020,Wildlife Photojournalism,Highly Commended,Canon EOS 5D Mark III,16–35mm f2.8 lens , 16mm,1/250sec,f16,-
2020,Wildlife Photojournalism,Highly Commended,Nikon D5,24–70mm f2.8 lens , 36mm,1/125sec,f11,ISO125
2020,Wildlife Photojournalist Story Award,Winner,Canon EOS-1D Mark II,70–20mm lens , 145mm,1/50sec,f2.8,-
2020,Wildlife Photojournalist Story Award,Winner,Canon EOS-1Ds Mark II,16–35mm lens , 16mm,1/10sec,f3.2,-
2020,Wildlife Photojournalist Story Award,Winner,Canon EOS 5D Mark II,16–35mm f2.8 lens , 16mm,1/250sec,f2.8,-
2020,Wildlife Photojournalist Story Award,Winner,Canon EOS 5D Mark II,16–35mm f2.8 lens,35mm,1/125sec,f2.8,-
2020,Wildlife Photojournalist Story Award,Winner,Canon EOS-1D Mark II,16–35mm lens , 16mm,1/125sec,f7.1,-
2020,Wildlife Photojournalist Story Award,Winner,Canon EOS-1D Mark II,16–35mm lens , 16mm,1/100sec,f4,-
2020,Wildlife Photojournalist Story Award,Highly Commended,Canon EOS 5D Mark IV,24–105mm f4 lens,105mm,1/180sec,f13,-
2020,Wildlife Photojournalist Story Award,Highly Commended,Canon EOS 5D Mark IV,24–105mm f4 lens,105mm,-,f9.5,-
2020,Wildlife Photojournalist Story Award,Highly Commended,Canon EOS-1D X Mark II,24–105mm f4 lens,105mm,1/1000sec,f9.5,-
2020,Wildlife Photojournalist Story Award,Highly Commended,Canon EOS 5D Mark IV,24–105mm f4 lens,105mm,1/30sec,f8,-
2020,Wildlife Photojournalist Story Award,Highly Commended,Canon EOS-1D X Mark II,24–105mm f4 lens,105mm,1/90sec,f11,-
2020,Wildlife Photojournalist Story Award,Highly Commended,Canon EOS 7D Mark II,24–105mm f4 lens,105mm,1/200sec,f19,-
2020,Rising Star Portfolio Award,Winner,Canon EOS 7D Mark II,Canon 500mm f4.5 lens,500mm,1/2000sec,f7.1(+1.0),ISO800
2020,Rising Star Portfolio Award,Winner,Canon EOS 7D Mark II,Canon 500mm f4.5 lens,500mm,1/640sec,f5.6(+1e/v),-
2020,Rising Star Portfolio Award,Winner,Canon EOS 7D Mark II,Canon 100–400mm f4.5/5.6 lens,400mm,1/1250sec,f6.3(+1e/v),-
2020,Rising Star Portfolio Award,Winner,Canon EOS 7D Mark II,Canon 500mm f4.5 lens,500mm,1/1000sec,f6.3(-0.3e/v),-
2020,Rising Star Portfolio Award,Winner,Canon EOS 7D Mark II,500mm f4.5 lens,500mm,1/1250sec,f5.6(+1e/v),-
2020,Rising Star Portfolio Award,Winner,Canon EOS 7D Mark II,500mm f4.5 lens,500mm,1/6400sec,f6.3,-
2020,Wildlife Photographer Portfolio Award,Winner,Nikon D5200,Tamron 90mm f2.8 lens,90mm,1/160sec,f8,ISO160
2020,Wildlife Photographer Portfolio Award,Winner,Nikon D5200,Laowa 15mm f4 lens,15mm,1/250sec,f16,ISO200
2020,Wildlife Photographer Portfolio Award,Winner,Nikon D500,18–55mm lens (reverse-mounted),55mm,1/160sec,-,ISO200
2020,Wildlife Photographer Portfolio Award,Winner,Nikon D500,Tamron 90mm f2.8 lens,90mm,1/250sec,f11,ISO500
2020,Wildlife Photographer Portfolio Award,Winner,Nikon D60,Tamron 90mm lens,90mm,1/100sec,f5,-
2020,Wildlife Photographer Portfolio Award,Winner,Nikon D5200,Tamron 90mm f2.8 lens,90mm,1/125sec,f18,ISO400
2020,10 Years and Under,Winner,Fujifilm X-H1,XF 100–400mm f4.5–5.6 lens,400mm,1/50sec,f5.6,-
2020,10 Years and Under,Highly Commended,Nikon D500,300mm f4 lens,300mm,1/500sec,f4,-
2020,10 Years and Under,Highly Commended,Olympus E-M5 Mark II,40–150mm f2.8 lens,150mm,1/1250sec,f4,-
2020,10 Years and Under,Highly Commended,Nikon D5000,Nikkor 85mm lens,85mm,1/1600sec,f6.3,-
2020,10 Years and Under,Highly Commended,Nikon D5,500mm f4 lens,500mm,1/6400sec,f4,ISO1600
2020,11-14 Years,Winner,Nikon D300,105mm f2.8 lens,105mm,1/250sec,f18,ISO200
2020,11-14 Years,Highly Commended,Nikon D500,500mm f4 lens,500mm,1/1600sec,f4(-0.7e/v),-
